dt,is_weekend,is_public_holiday,holiday_name,is_salary_disbursement,is_ramadan,days_to_salary,days_from_salary,week_of_year,month,quarter,year
2020-01-01,false,true,New Year’s Day,false,false,24,7,1,1,1,2020
2020-01-02,false,false,,false,false,23,8,1,1,1,2020
2020-01-03,true,false,,false,false,22,9,1,1,1,2020
2020-01-04,true,false,,false,false,21,10,1,1,1,2020
2020-01-05,false,false,,false,false,20,11,1,1,1,2020
2020-01-06,false,false,,false,false,19,12,2,1,1,2020
2020-01-07,false,false,,false,false,18,13,2,1,1,2020
2020-01-08,false,false,,false,false,17,14,2,1,1,2020
2020-01-09,false,false,,false,false,16,15,2,1,1,2020
2020-01-10,true,false,,false,false,15,16,2,1,1,2020
2020-01-11,true,false,,false,false,14,17,2,1,1,2020
2020-01-12,false,false,,false,false,13,18,2,1,1,2020
2020-01-13,false,false,,false,false,12,19,3,1,1,2020
2020-01-14,false,false,,false,false,11,20,3,1,1,2020
2020-01-15,false,false,,false,false,10,21,3,1,1,2020
2020-01-16,false,false,,false,false,9,22,3,1,1,2020
2020-01-17,true,false,,false,false,8,23,3,1,1,2020
2020-01-18,true,false,,false,false,7,24,3,1,1,2020
2020-01-19,false,false,,false,false,6,25,3,1,1,2020
2020-01-20,false,false,,true,false,5,26,4,1,1,2020
2020-01-21,false,false,,true,false,4,27,4,1,1,2020
2020-01-22,false,false,,true,false,3,28,4,1,1,2020
2020-01-23,false,false,,true,false,2,29,4,1,1,2020
2020-01-24,true,false,,true,false,1,30,4,1,1,2020
2020-01-25,true,false,,true,false,0,0,4,1,1,2020
2020-01-26,false,false,,true,false,30,1,4,1,1,2020
2020-01-27,false,false,,true,false,29,2,5,1,1,2020
2020-01-28,false,false,,false,false,28,3,5,1,1,2020
2020-01-29,false,false,,false,false,27,4,5,1,1,2020
2020-01-30,false,false,,false,false,26,5,5,1,1,2020
2020-01-31,true,false,,false,false,25,6,5,1,1,2020
2020-02-01,true,false,,false,false,24,7,5,2,1,2020
2020-02-02,false,false,,false,false,23,8,5,2,1,2020
2020-02-03,false,false,,false,false,22,9,6,2,1,2020
